Country,18-24,25-34,35-44,45-54,55-64,65-74,75+,Employed / Self employed,Unemployed,Homemaker,Studying,Retired,Not able to work,Primary Education,Some High School,High School,Associate’s Degree,Vocational certification,Bachelor's Degree,Master's Degree,PhD or Doctorate,% Distressed,% Struggling,% Enduring,% Managing,% Succeeding,% Thriving,Average MHQ Score,Average Cognition Score,Average Adaptability & Resilence Score,Average Drive & Motivation Score,Average Mood & Outlook Score,Average Social Self Score,Average Mind-Body Connection Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,tempo,energy,valence,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,region,track_genre
Argentina,26.33,48.49,69.27,84.9,98.46,109.39,110.04,85.04,48.12,71.33,33.46,105.84,34.16,67.63,67.81,75.65,93.47,90.77,97.25,101.83,102.76,4.89,19.5,12.85,19.84,29.0,13.92,70.83,86.87,89.79,89.22,68.14,70.92,78.26,6.393,9.994,0.892,67.3,0.832,-0.129,0.846,0.72,0.301,100.076,0.752,0.67,0.841,-4.735,0.105,0.167,0.00046,0.949,Latin America,brazil
Australia,21.91,34.2,37.3,45.02,64.56,88.0,115.46,58.6,7.14,57.22,29.42,96.79,3.57,66.98,46.75,53.63,78.32,58.3,72.42,82.74,88.82,6.71,26.16,15.03,20.44,20.98,10.68,53.58,70.09,69.78,66.01,53.69,53.45,61.84,7.025,10.846,0.896,71.2,0.876,0.187,0.482,0.731,0.248,137.9955567010309,0.5869823269513991,0.3725743740795288,0.5680648011782032,-7.096397643593519,0.04453181148748159,0.3033012371134021,0.004071961340206186,0.1328784977908689,Oceania,rock
Belgium,21.48,48.22,44.32,62.11,75.53,99.63,97.55,79.0,53.58,68.13,15.43,96.58,25.43,70.09,69.35,74.15,93.1,75.47,85.67,95.87,99.7,4.64,19.92,15.47,22.86,28.87,8.24,64.04,81.59,84.91,81.09,62.71,60.33,70.01,6.944,10.883,0.896,71.2,0.87,0.065,0.522,0.725,0.245,129.5522390829694,0.6111113537117904,0.4614388646288209,0.6844967248908297,-7.296419213973799,0.05391408296943231,0.3281268777292576,0.004918097248908296,0.1531465065502183,Europe,pop
Brazil,12.88,31.4,48.13,62.51,83.76,98.4,101.01,69.15,42.86,48.83,23.56,92.22,22.01,48.22,50.43,60.33,67.23,79.54,80.74,103.54,86.05,8.46,25.52,14.44,18.28,21.84,11.46,52.97,68.19,81.18,76.21,52.03,59.6,60.93,6.553,9.635,0.856,66.1,0.87,-0.036,0.733,0.694,0.313,139.993,0.649,0.303,0.544,-5.916999999999999,0.0319,0.711,0.0,0.364,Latin America,funk
Canada,30.75,37.44,53.42,63.06,82.22,105.1,117.34,72.58,32.84,70.67,38.28,107.63,22.24,81.99,70.68,73.29,89.52,86.94,87.87,97.84,103.13,4.31,21.31,13.72,21.18,26.91,12.58,67.47,83.49,79.78,78.13,65.56,66.93,71.59,6.841,10.794,0.902,71.5,0.847,0.196,0.468,0.726,0.304,151.1813782608696,0.4694913043478261,0.2918217391304348,0.504504347826087,-8.355586956521739,0.03688304347826087,0.4101701304347826,0.001446428130434783,0.1185373913043478,North America,country
Chile,19.94,43.05,60.73,84.74,96.32,108.36,108.97,95.74,71.24,72.83,31.26,105.61,59.41,55.21,74.02,82.92,99.11,105.56,94.34,114.62,75.99,4.8,20.04,13.87,21.76,25.92,13.62,68.44,81.18,87.82,86.16,68.43,71.08,71.36,6.23,10.155,0.874,70.6,0.815,-0.027,0.836,0.779,0.263,163.7332857142857,0.6968142857142857,0.7093714285714285,0.7108357142857142,-4.666778571428571,0.08470857142857142,0.18675,6.798857142857143e-05,0.1630742857142857,Latin America,brazil
Colombia,29.11,59.8,77.15,95.01,105.56,115.2,120.37,81.01,58.57,70.73,26.0,112.36,36.8,40.92,47.25,53.44,59.56,83.57,75.31,95.98,76.3,5.78,18.88,11.83,16.31,25.96,21.24,76.66,88.88,98.73,93.74,75.86,77.52,87.11,5.904,9.667,0.833,69.7,0.823,-0.142,0.87,0.754,0.285,130.7551058201058,0.6048994708994709,0.5855731922398588,0.7965873015873015,-5.17268430335097,0.1105213403880071,0.0954205643738977,5.179929453262786e-05,0.2286119929453263,Latin America,latino
Ecuador,18.39,49.81,88.15,97.27,113.96,119.09,116.66,104.34,66.26,80.34,18.41,117.09,61.39,51.78,73.12,70.93,72.08,95.65,100.97,119.67,105.44,6.22,19.31,11.49,17.11,26.65,19.22,73.81,87.93,100.45,94.74,72.66,70.91,83.42,5.852,9.307,0.782,69.5,0.731,-0.106,0.84,0.763,0.359,125.1349260969977,0.624540415704388,0.5957528868360278,0.7974642032332564,-4.935692840646651,0.07946766743648961,0.134313856812933,2.807293302540416e-05,0.2371891454965358,Latin America,latino
Egypt,22.76,37.04,56.39,74.17,88.75,100.81,102.33,68.07,20.33,47.91,26.89,90.29,11.53,26.62,28.48,42.02,50.85,48.23,60.45,84.35,92.44,6.11,23.59,16.18,22.74,23.61,7.77,54.94,68.7,80.02,71.86,53.74,63.71,57.48,3.881,9.48,0.73,64.0,0.625,-0.21,,0.436,0.352,129.884,0.773,0.173,0.664,-4.32,0.0688,0.048,1.49e-05,0.238,Middle East,hardstyle
France,24.71,47.65,54.21,68.63,84.96,95.34,97.83,75.62,34.65,67.51,20.54,94.45,28.6,73.03,73.76,74.34,73.27,76.86,68.93,86.88,85.9,4.07,17.85,14.0,24.8,31.17,8.1,68.77,82.42,88.09,83.15,67.73,65.18,75.39,6.557,10.742,0.85,72.5,0.776,0.01,0.558,0.676,0.228,124.2429093567252,0.6504649122807018,0.7151111111111111,0.7985087719298246,-7.763590643274853,0.1015611111111111,0.5197934210526316,0.002437918421052631,0.1857441520467836,Europe,disco
